,0,0,0,0,0
fecha,lluvia,luz,viento,temperatura,humedad
2025-12-04 16:17:25,4095,54612.5,0,30.2,24
2025-12-04 16:17:33,4095,54612.5,0,30.2,24
2025-12-04 16:17:41,4095,54612.5,0,30.2,24
2025-12-04 16:17:49,4095,54612.5,0,30.2,24
2025-12-04 16:17:57,4095,54612.5,0,30.2,24
2025-12-04 16:18:06,4095,54612.5,0,29.8,25
2025-12-04 16:18:16,4095,54612.5,0,29.8,26
2025-12-04 16:18:24,4095,54612.5,0,29.8,26
2025-12-04 16:18:32,4095,54612.5,0,29.8,26
2025-12-04 16:18:41,4095,54612.5,0,29.8,26
2025-12-04 16:18:50,4095,54612.5,0,30.1,25
2025-12-04 16:18:58,4095,54612.5,0,30.2,25
2025-12-04 16:19:06,4095,54612.5,0.57,30.2,25
2025-12-04 16:19:15,4095,54612.5,1.13,30.7,25
2025-12-04 16:19:23,4095,54612.5,0,30.7,25
2025-12-04 16:19:32,4095,54612.5,0,30.8,25
2025-12-04 16:19:41,4095,54612.5,0,30.8,25
2025-12-04 16:19:49,4095,54612.5,0,30.8,25
2025-12-04 16:19:58,4095,54612.5,0,31.3,25
2025-12-04 16:20:06,4095,54570,0,31.3,25
2025-12-04 16:20:14,4095,54612.5,0,31.3,25
2025-12-04 16:20:22,4095,54612.5,0,30.8,25
2025-12-04 16:20:32,4095,54612.5,1.13,30.8,25
2025-12-04 16:20:40,4095,54612.5,0,30.2,24
2025-12-04 16:20:48,4095,54612.5,0,29.8,26
2025-12-04 16:20:56,4095,54612.5,0,29.8,25
2025-12-04 16:21:04,4095,54612.5,0,29.8,25
2025-12-04 16:21:12,4095,54612.5,0,29.8,26
2025-12-04 16:21:25,4095,54612.5,0,29.8,26
2025-12-04 16:21:33,4095,54612.5,0,29.8,26
2025-12-04 16:21:42,4095,54561.66,0,30.1,25
2025-12-04 16:21:50,4095,54364.16,0,30.2,25
2025-12-04 16:21:59,4095,54486.66,0,30.2,25
2025-12-04 16:22:13,4095,54315,0,30.7,25
2025-12-04 16:22:22,4095,53388.33,0,30.8,25
2025-12-04 16:22:31,4095,52667.5,0,30.8,25
2025-12-04 16:22:39,4095,51805.83,0,30.6,25
2025-12-04 16:22:48,4095,51040,0,30.2,25
2025-12-04 16:22:56,4095,50100,0,30.2,25
2025-12-04 16:23:47,4095,49373.33,0,29.3,26
2025-12-04 16:24:01,4095,49673.33,0.57,29.3,26
2025-12-04 16:24:16,4095,49903.33,0.57,29,26
2025-12-04 16:24:44,4095,49087.5,0,28.5,26
2025-12-04 16:24:56,4095,49425,0,28,26
2025-12-04 16:25:06,4095,46582.5,0,27.6,28
2025-12-04 16:25:21,4095,27781.67,0,27.6,28
2025-12-04 16:25:32,4095,45901.66,0,27.1,28
2025-12-04 16:26:14,4095,49833.33,0,27.1,29
2025-12-04 16:26:23,4095,50289.16,0,27.1,29
2025-12-04 16:26:34,4095,50635,0,27.1,29
2025-12-04 16:26:46,4095,51014.16,0,27.1,30
2025-12-04 16:27:00,4095,50401.66,0,27.1,30
2025-12-04 16:27:09,4095,51213.33,0,27.6,30
2025-12-04 16:27:19,4095,50960,0,27.6,30
2025-12-04 16:27:27,4095,50580,0,27.6,30
2025-12-04 16:27:35,4095,50370.83,0,27.6,30
2025-12-04 16:27:44,4095,49949.16,0,27.6,30
2025-12-04 16:27:52,4095,49458.33,0.57,27.6,30
2025-12-04 16:28:00,4095,49388.33,0,28,29
2025-12-04 16:28:12,4095,48996.66,0,27.6,30
2025-12-04 16:28:20,4095,49070,0,27.6,30
2025-12-04 16:28:28,4095,49032.5,0,27.1,30
2025-12-04 16:28:37,4095,48306.66,0,27.1,30
2025-12-04 16:28:45,4095,47718.33,0,27.1,30
2025-12-04 16:28:54,4095,46748.33,0,27.1,30
2025-12-04 16:29:03,4095,45480,0,27.1,30
2025-12-04 16:29:14,4095,45078.33,0,27.1,30
2025-12-04 16:29:22,4095,45208.33,0,27.2,30
2025-12-04 16:29:33,4095,44915,0,27.6,30
2025-12-04 16:29:41,4095,44904.16,0,27.6,30
2025-12-04 16:29:50,4095,44293.33,0,28,29
2025-12-04 16:29:58,4095,37041.66,0,28.1,29
2025-12-04 16:30:07,4095,25280.83,0,28.3,29
2025-12-04 16:30:15,4095,19723.33,0,28.1,29
2025-12-04 16:30:24,4095,20905.83,0,28,29
2025-12-04 16:30:32,4095,25309.17,0,28,28
2025-12-04 16:30:41,4095,26304.17,0,27.6,30
2025-12-04 16:30:49,4095,26992.5,0,27.1,30
2025-12-04 16:30:58,4095,23319.17,0,26.7,29
2025-12-04 16:31:06,4095,18780.83,0,26.2,30
2025-12-04 16:31:14,4095,15688.33,0,25.8,30
